driver,position,gap_to_leader,fantasy_points
VER_r1,3,0.238,45
PER_r1,8,0.424,31
NOR_r1,5,0.294,16
LEC_r1,4,0.270,22
SAI_r1,1,0.000,36
HAM_r1,12,0.628,12
RUS_r1,6,0.366,20
MAG_r1,14,0.847,7
ALO_r1,2,0.141,7
GAS_r1,20,1.558,6
ZHO_r1,16,1.176,11
PIA_r1,7,0.386,10
OCO_r1,18,1.300,7
ALB_r1,15,1.141,0
STR_r1,10,0.572,8
SAR_r1,19,1.301,3
HUL_r1,9,0.454,-3
TSU_r1,13,0.807,-1
RIC_r1,11,0.625,5
BOT_r1,17,1.272,0
VER_r2,1,0.000,36
PER_r2,3,0.494,31
NOR_r2,5,0.559,8
LEC_r2,2,0.196,37
SAI_r2,10,0.894,26
HAM_r2,9,0.856,6
RUS_r2,4,0.552,15
MAG_r2,11,1.073,7
ALO_r2,6,0.626,16
GAS_r2,12,1.134,-20
ZHO_r2,19,2.327,-2
PIA_r2,8,0.801,23
OCO_r2,14,1.163,8
ALB_r2,17,1.396,6
STR_r2,7,0.715,-17
SAR_r2,20,5.000,7
HUL_r2,14,1.263,9
TSU_r2,13,1.160,-1
RIC_r2,16,1.328,0
BOT_r2,18,1.671,-1
VER_r3,2,0.020,-10
PER_r3,7,0.300,22
NOR_r3,10,0.776,23
LEC_r3,1,0.000,38
SAI_r3,3,0.077,46
HAM_r3,4,0.092,-19
RUS_r3,5,0.172,-3
MAG_r3,17,1.247,8
ALO_r3,6,0.283,9
GAS_r3,19,1.676,5
ZHO_r3,14,1.162,4
PIA_r3,8,0.373,21
OCO_r3,15,1.206,0
ALB_r3,13,1.045,4
STR_r3,9,0.627,16
SAR_r3,20,5.000,0
HUL_r3,16,1.227,11
TSU_r3,11,0.959,11
RIC_r3,18,1.249,8
BOT_r3,12,1.038,2
VER_r4,1,0.000,47
PER_r4,2,0.269,33
NOR_r4,6,0.574,19
LEC_r4,10,0.820,31
SAI_r4,7,0.608,28
HAM_r4,4,0.474,5
RUS_r4,3,0.355,13
MAG_r4,20,1.899,9
ALO_r4,5,0.519,14
GAS_r4,17,1.578,5
ZHO_r4,15,1.504,-17
PIA_r4,8,0.663,10
OCO_r4,14,1.459,5
ALB_r4,11,0.970,-20
STR_r4,18,1.779,13
SAR_r4,19,1.889,9
HUL_r4,16,1.576,10
TSU_r4,9,0.778,10
RIC_r4,13,1.119,-19
BOT_r4,12,0.983,8
VER_r5,3,0.358,58
PER_r5,4,3.880,40
NOR_r5,16,2.328,36
LEC_r5,13,1.788,34
SAI_r5,14,1.982,30
HAM_r5,18,2.537,30
RUS_r5,17,2.504,27
MAG_r5,5,0.816,17
ALO_r5,19,2.634,15
GAS_r5,20,2.974,13
ZHO_r5,11,1.324,13
PIA_r5,2,0.327,12
OCO_r5,7,0.911,12
ALB_r5,8,0.927,11
STR_r5,1,0,9
SAR_r5,15,1.984,8
HUL_r5,5,0.799,4
TSU_r5,12,1.704,-6
RIC_r5,9,0.936,-6
BOT_r5,10,1.228,-14